식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
가래떡,195,3.92,0.51,43.73,0,241,0,0.19,0,2,0,0,0,1
가오리찜,102,21.99,1.39,0.46,0.06,151,91.28,0.26,0,0,2,0,0,0
가오리콩나물찜,29,2.68,0.84,3.5,0.69,111,4.13,0.15,,0,0,0,0,0
가오리회무침,47,4.7,0.47,6.47,3.54,164,16.06,0.09,,0,0,0,0,0
가자미 매운탕,31,4.4,0.81,1.5,0.36,113,18,0.14,,0,0,0,0,0
가자미구이,150,14.69,7.8,3.85,0.03,291,63.9,1.22,,0,1,1,0,1
가자미식해,134,11.09,4.81,11.64,3.71,685,73.81,0.7,0.03,0,1,0,0,1
가자미조림,87,12.2,2.52,3.64,0.82,345,48.94,0.43,,0,1,0,0,0
가자미찜,78,11.8,1.95,2.79,0.83,345,49.28,0.34,,0,1,0,0,0
가자미튀김,94,5.1,6.54,2.89,0,215,21.52,0.99,,0,0,1,0,0
가죽나물무침,76,5.83,1.35,10.05,3.81,276,0,0.19,0.01,0,0,0,0,0
가지김치,36,2.1,0.77,6.22,2.45,1592,5.54,0.15,,0,0,0,0,0
가지나물,36.6,1.484,1.52,4.834,2.172,306.2,0,0.24,0,0,0,0,0,0
가지냉국,19,1.1,0.39,3.42,1.4,654,0,0.08,,0,0,0,0,0
가지볶음,35,0.9,2.17,3.36,1.55,207,0.01,0.33,,0,0,0,0,0
가지전,85,2.816,4.704,7.736,1.064,355,36.396,0.928,0.1,0,0,0,0,0
가지찜,120,5.6,6.26,10.225,2.64,401.5,15.81,2.345,,0,0,1,0,1
가지탕수,159.6666667,2.266666667,6.746666667,21.99333333,4.346666667,244.6666667,0,1.026666667,,1,0,1,0,1
간자장,135.6666667,4.65,3.696666667,20.58666667,1.853333333,406,6.303333333,0.966666667,0.035,1,0,0,0,1
간재미회무침,47,4.73,0.47,6.47,3.57,164,16.06,0.09,,0,0,0,0,0
갈매기살구이,312,26.98,22.6,0.28,0,124,96.84,9.82,0.05,0,2,2,0,2
돼지갈비구이,294,19.58,21.39,5.78,5.7,389,59.95,7.61,0.09,0,2,2,1,2
소갈비구이,275,23.425,18.18,4.36,3.475,424.5,71.61,6.9,0.41,0,2,2,0,2
양념소갈비구이,330,20.03,23.87,8.73,4.63,459,62.21,9.07,1.17,0,2,2,0,2
양념돼지갈비구이,321,18.07,23.53,9.13,4.53,366,39.01,8.67,1.47,0,1,2,0,2
돼지갈비찜,172,20.43,6.57,7.9,3.57,380,54.43,2.67,0.17,0,2,1,0,1
소갈비찜,141.5,13.595,6.975,6.105,1.24,286.5,44.985,2.49,0.265,0,1,1,0,1
갈비탕,50,3.88,2.96,1.65,0.16,128.6,15.054,1.056,0.06,0,0,0,0,0
갈치구이,128.5,10.355,7.86,3.0475,0.03,302.25,39.24,1.7425,,0,1,1,0,1
갈치젓,149,15.53,5.08,10.28,4.91,5023,112.27,1.87,0.03,0,1,0,0,1
갈치조림,86.33333333,8.07,3.433333333,5.5,2.036666667,275.6666667,28.11,0.926666667,,0,1,0,0,0
갈치찌개,40.25,4.2975,1.4225,2.425,0.83,212.75,13.25,0.3925,0,0,0,0,0,0
갈치튀김,78,4.6,5.47,1.85,0,172,17.96,1.06,,0,0,0,0,0
감바스 알 아히요,303.6666667,8.81,22.25,17.11666667,1.566666667,555,25.92333333,3.313333333,0.066666667,1,1,2,0,2
감자 된장국,32,2.4,0.77,4,0.36,207,5.18,0.13,,0,0,0,0,0
감자 소고기찌개,50.66666667,3.333333333,2.39,3.97,0.67,288.3333333,6.59,0.663333333,,0,0,0,0,0
감자 호박된장국,25,2.1,0.43,3.51,0.55,377,9.39,0.09,,0,0,0,0,0
찐감자,70,2.16,0.16,15.01,0.86,3,0,0.03,0,1,0,0,0,0
감자구이,100.75,1.8825,3.9225,14.7125,0.6375,81.5,2.515,1.02,,1,0,0,0,0
감자국,38,2.05,1.5,4.03,0.13,91,5.22,0.465,,0,0,0,0,0
감자그라탕,137.3333333,3.733333333,7.283333333,14.41333333,2.056666667,357,4.686666667,1.806666667,,1,0,1,0,1
감자밥,130,2.4,0.14,28.45,0.01,2,0,0.05,,1,0,0,0,1
감자범벅,94.33333333,2.3,0.05,21.71,4.2,599,0,0.04,,1,0,0,0,0
감자볶음,61.6,1.31,2.016,9.648,0.826,191.8,0,0.294,0.03,0,0,0,0,0
감자볶음,47,2.6,1.75,5.29,0.44,162,4.92,0.36,,0,0,0,0,0
감자샐러드,162,2.725,10.0575,15.605,3.115,310,14.7725,1.5925,,1,0,1,0,1
감자샐러드 샌드위치,108.3333333,3.066666667,4.753333333,13.45666667,2.27,216.6666667,24.92333333,1.213333333,,1,0,0,0,0
감자스프,90.33333333,2.833333333,4.41,9.44,2.643333333,20,12.54666667,2.536666667,,0,0,0,0,0
감자연근튀김,149,3.8,4.31,22.74,0.38,405,42.18,0.85,,1,0,0,0,1
감자전,88.6,1.88,3.604,11.984,0.486,161.6,9.704,0.574,0.05,0,0,0,0,0
감자조림,95.8,2.076,2.616,16.28,3.258,313.4,0,0.38,0.02,1,0,0,0,0
감자탕,56.2,4.37,2.92,3.272,0.384,194,16.696,0.752,0.01,0,0,0,0,0
감자튀김,149.2,2.51,7.054,19.094,0.074,338.8,0,1.214,0.07,1,0,1,0,1
몬스터 치즈 프라이,269,5.54,17.74,21.78,3.56,334,11.18,3.37,0.08,1,0,2,0,2
웨지감자,176,3.47,9.58,32.25,1.635,486.5,0.02,0.87,0,1,0,1,0,1
갑오징어무침,50,5.31,0.74,5.89,3.06,225,94.82,0.12,,0,0,0,0,0
갓김치,37,3.26,0.4,7.07,2.46,720,0,0.08,0.01,0,0,0,0,0
강낭콩밥,111.5,2.25,0.245,24.1,0.075,1.5,0,0.075,,1,0,0,0,1
개고기 수육,226,15.8,17.15,3.1,0.1,54,32.25,3.45,,0,1,1,0,1
개고기무침,121,7.63,8.82,3.76,0.9,111,13.49,1.64,,0,1,1,0,1
개고기전골,74,5.56,5.03,2.35,0.53,109,8.91,1.02,,0,0,0,0,0
개피떡(바람떡),206,5.32,0.81,44.3,7.62,286,0,0.26,0.01,2,0,0,1,1
건갈치조림,96,11.2,3.68,3.68,1.9,1051,45.24,1,,0,1,0,0,0
건꼴뚜기조림,288,29.4,13.55,10.14,1.55,1038,513.3,1.96,,0,2,1,0,2
건새우 미역국,27.25,3.8,1.035,0.9475,0,361.5,22.55,0.17,,0,0,0,0,0
건새우볶음,71,7.11,2.3,5.65,1.46,510,41.92,0.37,,0,0,0,0,0
건표고버섯볶음,37,2.03,1.99,7.51,0.66,146,0.01,0.23,,0,0,0,0,0
검정콩밥,124.5,2.95,0.6725,25.535,0.295,1,0,0.1425,,1,0,0,0,1
배추겉절이,55,2.28,2.14,6.58,1.3,328,2.9,0.42,0.06,0,0,0,0,0
게국지,38,4.08,1.1,2.88,0.98,368,35.29,0.18,0.02,0,0,0,0,0
게맛살튀김,213,6.1,8.61,26.31,1.57,440,24.1,1.41,,1,0,1,0,1
게살죽,71,2.24,0.89,13.42,0.02,182,6.27,0.26,0.01,1,0,0,0,0
간장게장,88,12.25,2.31,4.47,2.93,910,140.73,0.63,0.07,0,1,0,0,0
양념게장,111,12.24,3.3,8.07,4.93,607,61.44,0.25,0.01,0,1,0,0,1
게조림,57,11.55,0.495,0.895,0.385,410,21.045,0.12,,0,1,0,0,0
겨자채,124,6.35,8.82,4.145,2.48,323,49.39,3.39,,0,0,1,0,1
넛츠앤푸르츠,550,17.5,37.5,37.5,17.5,5,0,3.75,0,2,1,2,1,2
깨경단,279.5,5.36,3.63,56.4,13.625,191.5,0,0.725,0,2,0,0,1,2
콩경단,314,3.51,0.46,74.03,20.55,226,0,0.19,0,2,0,0,1,2
계란 덮밥,154,4.6775,4.0525,23.755,1.275,135,51.2075,1.075,0.01,1,0,0,0,1
계란빵,158,5.966666667,1.93,27.37333333,1.356666667,192.3333333,62.36333333,0.6,,1,0,0,0,1
삶은고구마,132,2.45,0.12,30.17,18.43,79,0,0.02,0,1,0,0,1,1
찐고구마,139,1.67,0.24,32.47,16.32,10,0,0.05,0.01,1,0,0,1,1
고구마깻잎튀김,169,2.6,4,29.95,4.94,354,21.97,0.72,,1,0,0,0,1
고구마맛탕,179.8,0.944,4.328,34.31,11.818,17.6,0,0.682,0,1,0,0,1,1
고구마밥,139,2.3,0.35,30.45,1.6,2,0,0.1,,1,0,0,0,1
고구마전,227,2.92,7.98,35.99,14.26,87,0,1.19,0.06,2,0,1,1,1
고구마조림,167,2.5,0.596666667,38.57666667,11.03666667,842,0,0.123333333,,2,0,0,1,1
고구마줄기나물,39,1.5,2.09,3.93,0.21,129,0.02,0.2,,0,0,0,0,0
고구마튀김,210.8,2.3,8.246,31.198,6.3,62,16.016,1.298,0.05,1,0,1,1,1
고기만두,103.5,6,2.0275,14.4575,0.1325,201.25,5.8925,0.4325,,1,0,0,0,0
고들빼기김치,83.33333333,3,1.086666667,15.32333333,4.736666667,994.6666667,3.283333333,0.13,0,1,0,0,0,0
고등어구이,174.75,11.9675,11.8075,4.11,0,219.25,34.0975,2.85,,0,1,1,0,1
고등어조림,94,8.4,4.27,5.02,2.02,310,22.26,1.09,,0,1,0,0,0
고등어찌개,58.66666667,5.05,3,2.77,1.01,272.3333333,14.97,0.68,0.05,0,0,0,0,0
고등어찜,92,8.6,4.88,3.21,1.02,159,22.36,1.15,,0,1,0,0,0
고등어튀김,157,8.633333333,10.98,4.523333333,0.06,351,31.13,2.193333333,,0,1,1,0,1
고디국(다슬기맑은국),17,1.4,0.71,1.576666667,0.23,96,1.02,0.07,,0,0,0,0,0
고사리나물,44,2.4,2.9375,3.155,0.2675,627.75,0.0025,0.475,,0,0,0,0,0
고사리나물무침,90,3.78,5.52,6.28,0.5,441,0,0.7,0.02,0,0,0,0,0
고추잡채,75.66666667,6.023333333,3.796666667,4.523333333,1.693333333,195.6666667,18.37666667,0.923333333,,0,0,0,0,0
고추잡채 꽃빵키트,168,6.76,5.62,22.5,4.77,199,9.81,1.21,0.04,1,0,0,0,1
고추장볶음,335.6666667,9.186666667,18.31333333,37.12,15.96666667,1612,27.66333333,4.903333333,,2,1,2,1,2
고추장아찌,124,2.39,0.63,31.49,11.38,2026,0,0.11,0,1,0,0,1,1
고추장아찌 무침,62,1.5,0.9,13.91,4.8,697,0,0.15,,1,0,0,0,0
고추장찌개,52.5,4.225,1.7,5.565,1.315,182.5,5.815,0.445,,0,0,0,0,0
고추전,208.5,10.305,13.02,13.525,1.155,143,72.475,2.845,0.06,1,1,1,0,1
고추조림,63.66666667,2.366666667,2.166666667,9.06,3.113333333,534.3333333,2.37,0.3,0,0,0,0,0,0
고추튀김,203.75,6.025,9.625,22.35,1.1675,261.5,42.2025,1.805,0.1,1,0,1,0,1
고춧가루 양념장,140,5.9,7.19,14.39,1.95,1416,0,1.12,,1,0,1,0,1
고춧잎나물,68.25,4.925,2.635,8.89,0.3375,282.5,0,0.4625,,0,0,0,0,0
고춧잎나물무침,88,4.41,4.69,7.14,1.51,797,0,0.74,0.09,0,0,0,0,0
곤드레나물밥,149,2.94,2.71,28.26,0,26,0,0.26,0,1,0,0,0,1
곤약무침_마요네즈,83,0.7,7.7,3.62,1.12,119,2.79,1.15,,0,0,1,0,0
곤약조림,37,0.95,1.725,6.18,1.7775,285.5,0,0.27,,0,0,0,0,0
골뱅이무침,87,5.01,0.71,15.19,4.01,379,12.06,0.13,,1,0,0,0,0
곰치국,42,5.43,1.18,2.39,0.28,380,47.65,0.14,0.01,0,0,0,0,0
곰탕,65,4.366666667,2.528333333,5.733333333,0.281666667,270.5,11.53333333,0.811666667,0.04,0,0,0,0,0
소곱창구이,184,14.89,11.73,4.71,1.11,1315,196.11,4.11,0.31,0,1,1,0,1
돼지곱창볶음,156,8.465,6.685,16.165,4.93,406.5,81.03,2.29,0.01,1,1,1,0,1
곱창전골,47,3.57,2.61,2.66,0.77,111,42.7,0.71,,0,0,0,0,0
대한곱창 곱창전골,140,5.79,9.11,8.65,1.08,320,38.93,4.28,0.08,0,0,1,0,1
소곱창순대전골,75,3.95,2.82,8.36,1.98,334,37.73,0.66,0.05,0,0,0,0,0
곱창전골_소고기,88,6.93,4.55,4.87,0.38,297,75.53,1.38,0.08,0,0,0,0,0
과일샐러드,87.5,0.5775,5.37,10.2175,7.7725,37.75,1.685,0.7975,,0,0,0,1,0
광어 매운탕,62.5,8.95,1.74,2.77,0.69,54.5,12.28,0.265,,0,1,0,0,0
굴국밥,105,6.52,2.74,13.6,0.05,252,79.75,0.6,0.02,1,0,0,0,0
돼지국밥,76,5.53,3.22,6.23,0,91,11.88,0.7,0.02,0,0,0,0,0
돼지머리국밥,137,6.7,5.16,15.94,0.16,181,23.82,1.47,0.03,1,0,0,0,1
소고기국밥,47,3.11,1.16,6.09,0.4,255,5.98,0.33,0.01,0,0,0,0,0
순대국밥,75,3.17,2.28,10.38,0.17,126,48.69,1.26,0.01,0,0,0,0,0
콩나물국밥,52,1.45,0.24,10.93,0,172,0,0.12,0,0,0,0,0,0
