식품명,calories,protein,fat,carbohydrates,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),carbohydrates_cluster,protein_cluster,fat_cluster,calories_cluster
가래떡,0.7505128798249008,-0.4534095378080777,-0.7501588105159748,2.473349191654886,0.0,241.0,0.0,0.19,0.0,2,0,0,1
가오리찜,-0.23719770572389212,2.3746991890856424,-0.6068491667718455,-0.975057310560138,0.06,151.0,91.28,0.26,0.0,0,2,0,0
가오리콩나물찜,-1.0124974126600415,-0.6474800868588919,-0.6964176941119263,-0.7327842399168824,0.69,111.0,4.13,0.15,,0,0,0,0
가오리회무침,-0.821327621908662,-0.3313329021148235,-0.756672885231617,-0.49608982550554376,3.54,164.0,16.06,0.09,,0,0,0,0
가자미 매운탕,-0.991256324798777,-0.3782854543045366,-0.7013032501486579,-0.8921744179716559,0.36,113.0,18.0,0.14,,0,0,0,0
가자미구이,0.2725884029464526,1.2321870858026234,0.4370313064098241,-0.704890958757297,0.03,291.0,63.9,1.22,,0,1,1,1
가자미식해,0.10265970005633769,0.668756459526066,-0.04989577858443364,-0.08406621523395423,3.71,685.0,73.81,0.7,0.03,0,1,0,1
가자미조림,-0.39650586468337484,0.8424809026280045,-0.422826556054952,-0.7216269274530482,0.82,345.0,48.94,0.43,,0,1,0,0
가자미찜,-0.4920907600590645,0.7798774997083872,-0.5156521207528539,-0.789367753126327,0.83,345.0,49.28,0.34,,0,1,0,0
가자미튀김,-0.3221620571689496,-0.2687294991952061,0.23183795286709347,-0.7813982442235883,0.0,215.0,21.52,0.99,,0,0,1,0
가죽나물무침,-0.5133318479203288,-0.1544782888669041,-0.6133632414874877,-0.21078140678749915,3.81,276.0,0.0,0.19,0.01,0,0,0,0
가지김치,-0.9381536051456161,-0.7382550210923373,-0.7078173248643003,-0.5160135977623904,2.45,1592.0,5.54,0.15,,0,0,0,0
가지나물,-0.9317812787872368,-0.8346642615885482,-0.5856784239460081,-0.6264709911543485,2.172,306.2,0.0,0.24,0.0,0,0,0,0
가지냉국,-1.118702851966363,-0.8947635283913811,-0.7697010346629015,-0.7391598470390733,1.4,654.0,0.0,0.08,,0,0,0,0
가지볶음,-0.9487741490762482,-0.9260652298511897,-0.4798247098168217,-0.7439415523807166,1.55,207.0,0.01,0.33,,0,0,0,0
가지전,-0.41774695254463917,-0.6261949298662219,-0.06715807658088557,-0.39519584279687214,1.064,355.0,36.396,0.928,0.1,0,0,0,0
가지찜,-0.04602791497251285,-0.1904752455456842,0.18623942985759773,-0.19683476620770657,2.64,401.5,15.81,2.345,,0,0,1,1
가지탕수,0.3752536612965819,-0.7121702698236605,0.26549400561886244,0.7410436062306061,4.346666667,244.6666667,0.0,1.026666667,,1,0,1,1
간자장,0.12036060696140953,-0.33915832747977565,-0.23120419144885873,0.6289391815300494,1.853333333,406.0,6.303333333,0.966666667,0.035,1,0,0,1
간재미회무침,-0.821327621908662,-0.3266376468958522,-0.756672885231617,-0.49608982550554376,3.57,164.0,16.06,0.09,,0,0,0,0
갈매기살구이,1.993116519708866,3.155676640507871,2.847238951197455,-0.9894024265850677,0.0,124.0,96.84,9.82,0.05,0,2,2,2
돼지갈비구이,1.8019467289574866,1.997513686494947,2.650188191049277,-0.5510794369344406,5.7,389.0,59.95,7.61,0.09,0,2,2,2
소갈비구이,1.6001563942754753,2.5992888970597705,2.1274336951189863,-0.6642464633533298,3.475,424.5,71.61,6.9,0.41,0,2,2,2
양념소갈비구이,2.1842863104602452,2.067942514779517,3.0540608234190953,-0.31597892430364966,4.63,459.0,62.21,9.07,1.17,0,2,2,2
양념돼지갈비구이,2.0887014150845555,1.7611858404733913,2.998691188336137,-0.28410088869269495,4.53,366.0,39.01,8.67,1.47,0,1,2,2
