,url,title,calories,carbohydrates,protein,fat,ingredients
0,https://www.10000recipe.com/recipe/7045892,냉이콩나물국 냉이국,180,30,12,2,"콩나물, 냉이, 멸치액젓, 코인 육수, 간마늘"
1,https://www.10000recipe.com/recipe/7045958,"6.블루베리 잼(ft.무설탕,면역력,시력강화)(2025.2.23)",4200,1060,20,0,"냉동 블루베리, 꿀, 아가베시럽, 대추야자시럽"
2,https://www.10000recipe.com/recipe/7046074,7.케일•알배추•깻잎 쌈밥(ft.야채참치쌈장)(2025.2.25),1234,145,68,45,"케일, 알배추, 깻잎, 공기밥, 참기름, 소금, 참깨, 양파, 참기름, 된장, 고추장, 마늘, 파프리카, 청양고추, 표고버섯, 참치캔, 고춧가루, 사탕수수 원당"
3,https://www.10000recipe.com/recipe/7045542,바나나 초코 쌀 쿠키 만들기 바나나 초코칩 쿠키 요리 레시피,2150,464,33,30,"바나나, 설탕, 박력분 쌀가루, 소금, 베이킹파우더, 초코칩"
4,https://www.10000recipe.com/recipe/7045351,들깨수제비,2150,300,100,75,"밀가루, 애호박, 들깨가루, 간마늘, 사골곰탕"
5,https://www.10000recipe.com/recipe/7045905,쫄면레시피,1050,186,31,23,"쫄면, 양배추, 당근, 고추장, 고추가루, 매실청, 식초, 간마늘, 간장, 설탕, 통깨, 참기름"
6,https://www.10000recipe.com/recipe/7045842,열무된장볶음 나물 만드는 법 열무나물볶음 레시피,150,10,5,8,"열무나물, 파, 간마늘, 된장, 새우젓, 식용류, 들깨가루, 참기름, 통깨"
7,https://www.10000recipe.com/recipe/7045872,시금치나물 된장무침 만드는법,165.5,10.9,10.1,9.8,"시금치, 파, 소금, 된장, 국간장, 멸치액젓, 고춧가루, 마늘, 참기름, 통깨"
8,https://www.10000recipe.com/recipe/7045931,고추장 감자조림 만들기 매콤 매운 감자볶음 레시피,1665,228,38,74,"감자, 파, 양파, 식용유, 마늘, 참기름, 깨, 진간장, 고추장, 고춧가루엿, 설탕, 참치액"
9,https://www.10000recipe.com/recipe/7045885,섬초 시금치무침 봄나물반찬 만들기,68,2,3,6,"시금치, 소금, 간마늘, 통깨, 참기름"
10,https://www.10000recipe.com/recipe/7045900,굴소스 느타리버섯볶음 만드는 법 버섯볶음 레시피,186.5,15.9,3.7,12.1,"느타리버섯, 양파, 당근, 파, 마늘, 굴소스, 식용유, 소금, 후추, 통깨"
11,https://www.10000recipe.com/recipe/7045864,양배추 참치덮밥 레시피 다이어트 양배추덮밥 레시피,540,33.6,33.7,30.5,"밥, 양배추, 참치캔, 당근, 올리브유, 참치액, 계란, 참기름, 파, 통깨"
12,https://www.10000recipe.com/recipe/7045828,"배추의 변신은 무죄! 엄청 맛있는 ""배추말이전"" 만들어보세요!",1020,48,20,85,"배추, 올리브유, 들기름, 청양고추, 마늘, 간장, 참기름, 올리고당, 통"
13,https://www.10000recipe.com/recipe/7045801,꽈리고추소고기볶음,760,38,60,40,"소고기, 꽈리고추, 통깨, 간장, 마늘, 맛술, 굴소스엿, 후추"
14,https://www.10000recipe.com/recipe/7044870,버터 갈릭 굴소스 파스타 초스피드 야식으로도 최고!,1234,78,32,85,"올리브유, 마늘편마늘 마늘, 파스타, 굴소스, 간장, 버터, 페퍼론치노, 치킨스톡, 후추, 치즈"
