url,title,ingredients,칼로리,탄수화물,단백질,지방
https://www.10000recipe.com/recipe/7045892,냉이콩나물국 냉이국,"콩나물 240g, 냉이1줌 1줌, 멸치액젓 1스푼, 코인육수 2개, 물 1리터, 간마늘 1스푼",180,30,12,2
https://www.10000recipe.com/recipe/7045958,"6.블루베리 잼(ft.무설탕,면역력,시력강화)(2025.2.23)","냉동 블루베리 2kg, 꿀 500g, 아가베시럽 100g, 대추야자시럽 200g",4200,1060,20,0
https://www.10000recipe.com/recipe/7046074,7.케일•알배추•깻잎 쌈밥(ft.야채참치쌈장)(2025.2.25),"케일 10장, 알배추 잎 7장, 깻잎 5장, 공기밥 2+1/2공기, 참기름 1스푼, 소금 약간, 참깨 약간, 양파작은 것 작은 것, 참기름 1스푼, 된장 2스푼, 고추장 1스푼, 생수 109ml, 다진마늘 1/2스푼, 파프리카홍•황 각각 홍•황 각각, 청양고추 1개, 표고버섯 2개, 참치캔 170g, 고춧가루 1스푼, 사탕수수 원당 2스푼",1234,145,68,45
https://www.10000recipe.com/recipe/7045542,바나나 초코 쌀 쿠키 만들기 바나나 초코칩 쿠키 요리 레시피,"바나나300g 300g, 설탕 30g, 박력분 쌀가루 300g, 소금 1꼬집, 베이킹파우더 1/2작은술, 초코칩 100g",2150,464,33,30
https://www.10000recipe.com/recipe/7040726,둥근호박볶음 새우젓조림 칼로리 여름반찬 애호박나물,"호박 1개, 새우젓 1T, 고춧가루 1t, 통깨, 파, 마늘 1t",85,15,4,2
https://www.10000recipe.com/recipe/7045351,들깨수제비,"밀가루 300g, 애호박 1/3개, 들깨가루 5스푼, 간마늘 1스푼, 사골곰탕500g-1kg 500g-1kg, 물 100ml",2150,300,100,75
https://www.10000recipe.com/recipe/7045905,쫄면레시피,"쫄면 350g, 양배추 1/4개, 당근 1/2개, 고추장 2스푼, 고추가루 2스푼, 매실청 2스푼, 식초 3스푼, 간마늘 2스푼, 간장 1스푼, 설탕 1스푼, 통깨 1스푼, 참기름 1/2스푼",1050,186,31,23
https://www.10000recipe.com/recipe/7045842,열무된장볶음 나물 만드는 법 열무나물볶음 레시피,"열무삶은 나물 삶은 나물, 대파 1/2대, 간마늘 1T, 된장듬북 듬북, 새우젓 2T, 식용류 2T, 물 200ml, 들깨가루 1T, 참기름후첨 후첨, 통깨 0.5T",150,10,5,8
https://www.10000recipe.com/recipe/7045673,두부계란 스크램블,"두부 1/2모, 달걀 2개, 우유 100ml, 식용유 1T, 소금 1ts, 시금치 1/2줌, 후추 1/2ts, 갈은깨 1ts",540,12,33,40
https://www.10000recipe.com/recipe/7045872,시금치나물 된장무침 만드는법,"시금치 250g, 대파 1/4대, 소금 1/2스푼, 된장 1/2스푼, 국간장 1/2스푼, 멸치액젓 1/2스푼, 고춧가루 1/2스푼, 다진 마늘 1/2스푼, 참기름 1스푼, 으깬 통깨 1스푼",165.5,10.9,10.1,9.8
https://www.10000recipe.com/recipe/7045931,고추장 감자조림 만들기 매콤 매운 감자볶음 레시피,"감자 500g, 대파 1대, 양파 1/2개, 식용유 2큰술, 다진마늘 1큰술, 참기름 1큰술, 깨 적당량, 물 1.5컵, 진간장 4큰술, 고추장 2큰술, 고춧가루 1큰술, 물엿 2큰술, 설탕 1큰술, 참치액 1큰술",1665,228,38,74
https://www.10000recipe.com/recipe/7044682,스타우브 베이비웍 오뎅국,"오뎅 100g, 무 50g, 양파 1/2조각, 국간장 1T, 다진마늘 0.5T, 후추 약간, 두부 1/3모, 대파 약간, 다시마 1조각, 멸치 6마리, 물 200ml",215,15,20,8
https://www.10000recipe.com/recipe/7045885,섬초 시금치무침 봄나물반찬 만들기,"시금치 1단, 소금 1/2t, 간마늘 1t, 통깨 약간, 참기름 1t",68,2,3,6
https://www.10000recipe.com/recipe/7045222,매콤 감자어묵조림!!,"감자 2개, 종합 어묵 500g, 대파 0.5개, 양파 1개, 청양고추 3개, 당근 1/4개, 양조간장조림 2T+2T 조림 2T+2T, 맛술 2T, 설탕 2T, 올리고당 2T, 고추가루 2T, 식용유 2T, 통깨 취향껏",3150,292,120,170
https://www.10000recipe.com/recipe/7045900,굴소스 느타리버섯볶음 만드는 법 버섯볶음 레시피,"느타리버섯 손질 후 125g, 양파 35g, 당근 30g, 대파 15g, 다진 마늘 0.4큰술, 굴소스 0.7~0.8큰술, 식용유 3큰술, 물 1큰술, 소금 0.2작은술, 후추 톡톡톡, 통깨 솔솔솔",186.5,15.9,3.7,12.1
